COUNTRY,Country,VARIABLE,Variable,MEASURE,Measure,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2000,2000,ALL,Lek,0,Units,,,14642000000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2001,2001,ALL,Lek,0,Units,,,14003000000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2002,2002,ALL,Lek,0,Units,,,9275000000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2003,2003,ALL,Lek,0,Units,,,8460000000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2004,2004,ALL,Lek,0,Units,,,11896000000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2005,2005,ALL,Lek,0,Units,,,8770000000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2006,2006,ALL,Lek,0,Units,,,21735000000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2007,2007,ALL,Lek,0,Units,,,31421000000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2008,2008,ALL,Lek,0,Units,,,61575000000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2009,2009,ALL,Lek,0,Units,,,64364000000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2010,2010,ALL,Lek,0,Units,,,33381000000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2011,2011,ALL,Lek,0,Units,,,29616000000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2012,2012,ALL,Lek,0,Units,,,25219000000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2013,2013,ALL,Lek,0,Units,,,32950000000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2014,2014,ALL,Lek,0,Units,,,27071000000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2015,2015,ALL,Lek,0,Units,,,25120550000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2016,2016,ALL,Lek,0,Units,,,12242000000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2017,2017,ALL,Lek,0,Units,,,21339900000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2018,2018,ALL,Lek,0,Units,,,21632300000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2019,2019,ALL,Lek,0,Units,,,21762790000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,NAT,National currency,2020,2020,ALL,Lek,0,Units,,,23994376000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2000,2000,ALL,Lek,0,Units,,,14367000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2001,2001,ALL,Lek,0,Units,,,13819000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2002,2002,ALL,Lek,0,Units,,,8529000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2003,2003,ALL,Lek,0,Units,,,8358000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2004,2004,ALL,Lek,0,Units,,,11629000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2005,2005,ALL,Lek,0,Units,,,8469000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2006,2006,ALL,Lek,0,Units,,,21567000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2007,2007,ALL,Lek,0,Units,,,31333000000,,
